x,y,time,label
1159,373,1770701891.0715263,human
1171,372,1770701891.0776858,human
1180,371,1770701891.0845025,human
1188,371,1770701891.0910926,human
1194,375,1770701891.0977426,human
1198,377,1770701891.1042209,human
1204,380,1770701891.1103964,human
1208,384,1770701891.1177242,human
1212,388,1770701891.1239922,human
1214,394,1770701891.1306534,human
1215,401,1770701891.136965,human
1216,408,1770701891.1432447,human
1216,418,1770701891.1505218,human
1213,433,1770701891.1568,human
1207,455,1770701891.1638548,human
1195,475,1770701891.1698668,human
1185,497,1770701891.1761227,human
1171,520,1770701891.183871,human
1157,541,1770701891.1895785,human
1145,561,1770701891.1964436,human
1134,573,1770701891.20284,human
1124,586,1770701891.208997,human
1115,597,1770701891.2158132,human
1104,606,1770701891.2227418,human
1095,616,1770701891.2292335,human
1087,622,1770701891.235959,human
1078,627,1770701891.242575,human
1071,631,1770701891.2491853,human
1065,635,1770701891.255482,human
1056,637,1770701891.2620807,human
1052,638,1770701891.268654,human
1050,638,1770701891.2748408,human
1049,638,1770701891.2820156,human
1046,638,1770701891.2887278,human
1043,638,1770701891.295015,human
1039,636,1770701891.301546,human
1036,635,1770701891.3078768,human
1031,633,1770701891.314739,human
1027,631,1770701891.3211596,human
1026,629,1770701891.327796,human
1023,626,1770701891.3343594,human
1022,624,1770701891.3407516,human
1021,617,1770701891.3478498,human
1021,610,1770701891.3540592,human
1021,599,1770701891.3604426,human
1027,581,1770701891.3669438,human
1034,563,1770701891.3741238,human
1044,549,1770701891.3807032,human
1059,535,1770701891.3866613,human
1074,524,1770701891.39352,human
1094,512,1770701891.4003923,human
1112,504,1770701891.4064908,human
1126,497,1770701891.4135437,human
1140,495,1770701891.4202511,human
1150,493,1770701891.4263756,human
1160,492,1770701891.4329906,human
1170,492,1770701891.4398115,human
1177,494,1770701891.4462922,human
1183,497,1770701891.4524474,human
1189,499,1770701891.4589572,human
1191,504,1770701891.4658256,human
1193,506,1770701891.4723852,human
1193,508,1770701891.4790041,human
1194,511,1770701891.4858913,human
1194,516,1770701891.4922454,human
1193,525,1770701891.4987478,human
1192,535,1770701891.5056043,human
1189,545,1770701891.5120285,human
1185,557,1770701891.518709,human
1181,566,1770701891.5249317,human
1178,573,1770701891.5315049,human
1174,582,1770701891.5382662,human
1170,590,1770701891.5445964,human
1168,594,1770701891.551599,human
1165,597,1770701891.5576985,human
1163,600,1770701891.5647948,human
1163,601,1770701891.5709965,human
1160,603,1770701891.5778735,human
1158,604,1770701891.5844448,human
1156,604,1770701891.5908887,human
1155,605,1770701891.5976472,human
1153,605,1770701891.6040716,human
1152,605,1770701891.6106021,human
1151,603,1770701891.6170173,human
1150,602,1770701891.623906,human
1147,598,1770701891.6306164,human
1145,593,1770701891.6369045,human
1141,586,1770701891.643289,human
1140,579,1770701891.6501915,human
1140,571,1770701891.6568432,human
1140,561,1770701891.6633687,human
1140,547,1770701891.6700969,human
1146,533,1770701891.6762586,human
1151,516,1770701891.6827016,human
1160,495,1770701891.6892562,human
1173,466,1770701891.6962717,human
1188,439,1770701891.7027755,human
1200,419,1770701891.7091525,human
1214,399,1770701891.7158961,human
1223,383,1770701891.722557,human
1231,369,1770701891.7289863,human
1238,358,1770701891.735693,human
1244,346,1770701891.7421308,human
1250,335,1770701891.7499118,human
1255,326,1770701891.7551227,human
1260,318,1770701891.7619717,human
1265,311,1770701891.7685652,human
1271,303,1770701891.774988,human
1277,294,1770701891.781945,human
1283,286,1770701891.7881415,human
1289,279,1770701891.79451,human
1297,269,1770701891.8015656,human
1304,262,1770701891.807862,human
1312,253,1770701891.8146913,human
1321,243,1770701891.8207557,human
1327,235,1770701891.8276598,human
1335,228,1770701891.8342733,human
1343,220,1770701891.8404694,human
1351,212,1770701891.8475218,human
1358,204,1770701891.8542051,human
1365,198,1770701891.8601942,human
1374,190,1770701891.8672447,human
1382,184,1770701891.8739786,human
1388,179,1770701891.8804395,human
1394,173,1770701891.8868387,human
1400,167,1770701891.893364,human
1406,162,1770701891.9001436,human
1410,157,1770701891.9065917,human
1418,152,1770701891.9131126,human
1421,150,1770701891.919884,human
1425,146,1770701891.9261103,human
1428,143,1770701891.9328437,human
1430,142,1770701891.9399014,human
1432,140,1770701891.9459045,human
1433,139,1770701891.952895,human
1435,138,1770701891.9587297,human
1435,137,1770701891.9663308,human
1436,137,1770701891.9917667,human
1437,137,1770701892.0055382,human
1438,137,1770701892.0119843,human
1439,137,1770701892.0184622,human
1442,137,1770701892.0247514,human
1444,137,1770701892.031485,human
1446,137,1770701892.0383716,human
1449,137,1770701892.044407,human
1454,137,1770701892.051073,human
1458,137,1770701892.0577524,human
1462,137,1770701892.064393,human
1464,138,1770701892.0707414,human
1468,139,1770701892.077271,human
1474,141,1770701892.0842824,human
1477,143,1770701892.0906918,human
1480,147,1770701892.0973911,human
1484,149,1770701892.104082,human
1486,152,1770701892.1105466,human
1489,155,1770701892.117435,human
1491,157,1770701892.123691,human
1494,160,1770701892.1308339,human
1496,162,1770701892.137109,human
1497,165,1770701892.1435761,human
1499,169,1770701892.150082,human
1501,173,1770701892.1567383,human
1502,176,1770701892.1633587,human
1504,179,1770701892.1693895,human
1505,181,1770701892.1766367,human
1506,184,1770701892.1831522,human
1508,189,1770701892.1897106,human
1511,195,1770701892.195784,human
1513,199,1770701892.2028394,human
1515,203,1770701892.209028,human
1517,210,1770701892.2160733,human
1519,216,1770701892.2222085,human
1520,220,1770701892.2293987,human
